"GpoName","GpoPath","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags","SID","RID","IsBuiltIn","PrincipalType","DomainFqdn","DomainName"
"ER7-GP5","cn={9B2E36AC-5684-4CDA-866B-41D6DD8AD58F},cn=policies,cn=system,DC=KINGSLANDING,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","KINGSLANDING\Enterprise Admins","False","ContainerInherit","None","S-1-5-21-740273710-242295789-2164128082-519","519","True","group","kingslanding.net","kingslanding"
"ER7-GP5","cn={9B2E36AC-5684-4CDA-866B-41D6DD8AD58F},cn=policies,cn=system,DC=KINGSLANDING,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","KINGSLANDING\devadmin","False","None","None","S-1-5-21-740273710-242295789-2164128082-1000","1000","False","user","kingslanding.net","kingslanding"
"ER7-GP5","cn={9B2E36AC-5684-4CDA-866B-41D6DD8AD58F},cn=policies,cn=system,DC=KINGSLANDING,DC=NET","ExtendedRight","All","edacfd8f-ffb3-11d1-b41d-00a0c968f939","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","kingslanding.net","kingslanding"
"ER7-DC1","cn={9F0E9BA2-42EC-4389-967C-A6DE02380E09},cn=policies,cn=system,DC=KINGSLANDING,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly","S-1-3-0","0","True","Local BuiltIn","kingslanding.net","kingslanding"
"ER7-DC1","cn={9F0E9BA2-42EC-4389-967C-A6DE02380E09},cn=policies,cn=system,DC=KINGSLANDING,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","None","S-1-5-9","9","True","foreignSecurityPrincipal","kingslanding.net","kingslanding"
"ER7-DC1","cn={9F0E9BA2-42EC-4389-967C-A6DE02380E09},cn=policies,cn=system,DC=KINGSLANDING,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","kingslanding.net","kingslanding"
"ER7-DC1","cn={9F0E9BA2-42EC-4389-967C-A6DE02380E09},cn=policies,cn=system,DC=KINGSLANDING,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit","None","S-1-5-18","18","True","Local BuiltIn","kingslanding.net","kingslanding"
"ER7-DC1","cn={9F0E9BA2-42EC-4389-967C-A6DE02380E09},cn=policies,cn=system,DC=KINGSLANDING,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","KINGSLANDING\Domain Admins","False","ContainerInherit","None","S-1-5-21-740273710-242295789-2164128082-512","512","True","group","kingslanding.net","kingslanding"
"ER7-DC1","cn={9F0E9BA2-42EC-4389-967C-A6DE02380E09},cn=policies,cn=system,DC=KINGSLANDING,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","KINGSLANDING\Enterprise Admins","False","ContainerInherit","None","S-1-5-21-740273710-242295789-2164128082-519","519","True","group","kingslanding.net","kingslanding"
"ER7-DC1","cn={9F0E9BA2-42EC-4389-967C-A6DE02380E09},cn=policies,cn=system,DC=KINGSLANDING,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","KINGSLANDING\devadmin","False","None","None","S-1-5-21-740273710-242295789-2164128082-1000","1000","False","user","kingslanding.net","kingslanding"
