"GpoName","GpoPath","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags","SID","RID","IsBuiltIn","PrincipalType","DomainFqdn","DomainName"
"MSR-File Print Sharing","cn={326AA3D1-9169-4175-A6B1-320629CF206E},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","ExtendedRight","All","edacfd8f-ffb3-11d1-b41d-00a0c968f939","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP3","cn={40EDC24D-E7B2-433A-9499-0ADC4F7DCD32},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly","S-1-3-0","0","True","Local BuiltIn","digirevenge.net","digirevenge"
"MSR-GP3","cn={40EDC24D-E7B2-433A-9499-0ADC4F7DCD32},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","None","S-1-5-9","9","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP3","cn={40EDC24D-E7B2-433A-9499-0ADC4F7DCD32},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP3","cn={40EDC24D-E7B2-433A-9499-0ADC4F7DCD32},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit","None","S-1-5-18","18","True","Local BuiltIn","digirevenge.net","digirevenge"
"MSR-GP3","cn={40EDC24D-E7B2-433A-9499-0ADC4F7DCD32},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","DIGIREVENGE\Domain Admins","False","ContainerInherit","None","S-1-5-21-2814288781-3797451066-378831835-512","512","True","group","digirevenge.net","digirevenge"
"MSR-GP3","cn={40EDC24D-E7B2-433A-9499-0ADC4F7DCD32},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","DIGIREVENGE\Enterprise Admins","False","ContainerInherit","None","S-1-5-21-2814288781-3797451066-378831835-519","519","True","group","digirevenge.net","digirevenge"
"MSR-GP3","cn={40EDC24D-E7B2-433A-9499-0ADC4F7DCD32},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","ExtendedRight","All","edacfd8f-ffb3-11d1-b41d-00a0c968f939","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP1","cn={7FB3883A-9222-4438-838A-91FFA347ADC6},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly","S-1-3-0","0","True","Local BuiltIn","digirevenge.net","digirevenge"
"MSR-GP1","cn={7FB3883A-9222-4438-838A-91FFA347ADC6},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","None","S-1-5-9","9","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP1","cn={7FB3883A-9222-4438-838A-91FFA347ADC6},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP1","cn={7FB3883A-9222-4438-838A-91FFA347ADC6},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit","None","S-1-5-18","18","True","Local BuiltIn","digirevenge.net","digirevenge"
"MSR-GP1","cn={7FB3883A-9222-4438-838A-91FFA347ADC6},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","DIGIREVENGE\Domain Admins","False","ContainerInherit","None","S-1-5-21-2814288781-3797451066-378831835-512","512","True","group","digirevenge.net","digirevenge"
"MSR-GP1","cn={7FB3883A-9222-4438-838A-91FFA347ADC6},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","DIGIREVENGE\Enterprise Admins","False","ContainerInherit","None","S-1-5-21-2814288781-3797451066-378831835-519","519","True","group","digirevenge.net","digirevenge"
"MSR-GP1","cn={7FB3883A-9222-4438-838A-91FFA347ADC6},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","ExtendedRight","All","edacfd8f-ffb3-11d1-b41d-00a0c968f939","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP4","cn={940856B0-592B-4B8F-9A5E-6F26E615E72B},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly","S-1-3-0","0","True","Local BuiltIn","digirevenge.net","digirevenge"
"MSR-GP4","cn={940856B0-592B-4B8F-9A5E-6F26E615E72B},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","None","S-1-5-9","9","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP4","cn={940856B0-592B-4B8F-9A5E-6F26E615E72B},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP4","cn={940856B0-592B-4B8F-9A5E-6F26E615E72B},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit","None","S-1-5-18","18","True","Local BuiltIn","digirevenge.net","digirevenge"
"MSR-GP4","cn={940856B0-592B-4B8F-9A5E-6F26E615E72B},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","DIGIREVENGE\Domain Admins","False","ContainerInherit","None","S-1-5-21-2814288781-3797451066-378831835-512","512","True","group","digirevenge.net","digirevenge"
"MSR-GP4","cn={940856B0-592B-4B8F-9A5E-6F26E615E72B},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","DIGIREVENGE\Enterprise Admins","False","ContainerInherit","None","S-1-5-21-2814288781-3797451066-378831835-519","519","True","group","digirevenge.net","digirevenge"
"MSR-GP4","cn={940856B0-592B-4B8F-9A5E-6F26E615E72B},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","ExtendedRight","All","edacfd8f-ffb3-11d1-b41d-00a0c968f939","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP2","cn={D4800D12-F2F9-4BB1-A7AA-F3B8F9DB3676},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly","S-1-3-0","0","True","Local BuiltIn","digirevenge.net","digirevenge"
"MSR-GP2","cn={D4800D12-F2F9-4BB1-A7AA-F3B8F9DB3676},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","None","S-1-5-9","9","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP2","cn={D4800D12-F2F9-4BB1-A7AA-F3B8F9DB3676},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
"MSR-GP2","cn={D4800D12-F2F9-4BB1-A7AA-F3B8F9DB3676},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit","None","S-1-5-18","18","True","Local BuiltIn","digirevenge.net","digirevenge"
"MSR-GP2","cn={D4800D12-F2F9-4BB1-A7AA-F3B8F9DB3676},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","DIGIREVENGE\Domain Admins","False","ContainerInherit","None","S-1-5-21-2814288781-3797451066-378831835-512","512","True","group","digirevenge.net","digirevenge"
"MSR-GP2","cn={D4800D12-F2F9-4BB1-A7AA-F3B8F9DB3676},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","DIGIREVENGE\Enterprise Admins","False","ContainerInherit","None","S-1-5-21-2814288781-3797451066-378831835-519","519","True","group","digirevenge.net","digirevenge"
"MSR-GP2","cn={D4800D12-F2F9-4BB1-A7AA-F3B8F9DB3676},cn=policies,cn=system,DC=DIGIREVENGE,DC=NET","ExtendedRight","All","edacfd8f-ffb3-11d1-b41d-00a0c968f939","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","digirevenge.net","digirevenge"
